id,name,lat,lng,streamUrl
NST94,ถนนเทวบุรี ขุมขนบ้านโพธิ์ตัวที่ 1,8.4183,99.95195,https://streaming.noc.nakhoncity.org/live/NST94.m3u8
NST95,ถนนเทวบุรี ขุมขนบ้านโพธิ์ตัวที่ 2,8.418366,99.95201,https://streaming.noc.nakhoncity.org/live/NST95.m3u8
NST96,ทางเข้าทุ่งท่าลาดตัวที่ 1,8.448647,99.95235,https://streaming.noc.nakhoncity.org/live/NST96.m3u8
NST97,ทางเข้าทุ่งท่าลาด ตัวที่ 2,8.448657,99.9524,https://streaming.noc.nakhoncity.org/live/NST97.m3u8
NST98,ทางออกทุ่งท่าลาด ตัวที่ 1,8.453634,99.956987,https://streaming.noc.nakhoncity.org/live/NST98.m3u8
NST99,ทางออกทุ่งท่าลาด ตัวที่ 2,8.453644,99.957037,https://streaming.noc.nakhoncity.org/live/NST99.m3u8
NSW01,กล้องดูระดับน้ำคลองท่าใหญ่ ตัวที่ 1,8.3999,99.83334,https://streaming.noc.nakhoncity.org/live/NSW01.m3u8
NSW03,กล้องดูระดับน้ำคลองท่าใหญ่ ตัวที่ 2,8.3999,99.83365,https://streaming.noc.nakhoncity.org/live/NSW03.m3u8
NSW04,กล้องดูระดับน้ำคลองป่าเหล้า,8.406107,99.965518,https://streaming.noc.nakhoncity.org/live/NSW04.m3u8
NSW05,กล้องดูระดับน้ำคลองหน้าเมือง (รามราชท้ายน้ำ),8.4297078,99.9716798,https://streaming.noc.nakhoncity.org/live/NSW05.m3u8
NSW06,กล้องดูระดับน้ำคลองหน้าเมือง,8.427596,99.961469,https://streaming.noc.nakhoncity.org/live/NSW06.m3u8
NSW07,กล้องดูระดับน้ำคลองท่าวัง (สะพานราเมศวร์),8.444397,99.961078,https://streaming.noc.nakhoncity.org/live/NSW07.m3u8
NSW08,กล้องดูระดับน้ำคลองคูพาย (มหาราช),8.391726,99.970925,https://streaming.noc.nakhoncity.org/live/NSW08.m3u8
